Step,Point,Position X,Position Y,Position Z,Velocity X,Velocity Y,Velocity Z
66,3,-12.7997,13.9989,7.68843,-25.9147,28.1151,14.9265
67,0,13.0528,-14.0916,-7.58991,25.294,-27.5235,-15.3253
67,1,-0.135954,0.0997296,-0.255679,-1.25221,-0.530121,-0.979756
67,2,0.445751,0.192012,0.223487,1.53833,-0.168156,1.86857
67,3,-13.0589,14.28,7.8377,-25.9147,28.1151,14.9265
68,0,13.3057,-14.3668,-7.74316,25.294,-27.5235,-15.3253
68,1,-0.148344,0.0944495,-0.265367,-1.23892,-0.528013,-0.968809
68,2,0.461001,0.19031,0.242064,1.52504,-0.170265,1.85762
68,3,-13.318,14.5612,7.98696,-25.9146,28.115,14.9264
69,0,13.5587,-14.6421,-7.89641,25.294,-27.5234,-15.3252
69,1,-0.160613,0.0891882,-0.274955,-1.22697,-0.526132,-0.95885
69,2,0.476132,0.188588,0.26054,1.51309,-0.172147,1.84766
69,3,-13.5772,14.8423,8.13623,-25.9146,28.115,14.9264
70,0,13.8116,-14.9173,-8.04966,25.2939,-27.5234,-15.3252
70,1,-0.172775,0.0839438,-0.284453,-1.21614,-0.524443,-0.949747
70,2,0.491155,0.18685,0.278926,1.50226,-0.173838,1.83856
70,3,-13.8363,15.1235,8.28549,-25.9146,28.115,14.9264
71,0,14.0645,-15.1925,-8.20291,25.2939,-27.5234,-15.3252
71,1,-0.184838,0.0787146,-0.293866,-1.20629,-0.522916,-0.941388
71,2,0.506079,0.185096,0.297228,1.49241,-0.175366,1.8302
71,3,-14.0955,15.4046,8.43475,-25.9146,28.115,14.9264
72,0,14.3175,-15.4678,-8.35617,25.2939,-27.5233,-15.3252
72,1,-0.19681,0.0734993,-0.303203,-1.19729,-0.52153,-0.933683
72,2,0.520913,0.183329,0.315453,1.48341,-0.176753,1.8225
72,3,-14.3546,15.6858,8.58402,-25.9145,28.1149,14.9264
73,0,14.5704,-15.743,-8.50942,25.2939,-27.5233,-15.3252
73,1,-0.208701,0.0682967,-0.312469,-1.18902,-0.520265,-0.926555
73,2,0.535664,0.181548,0.333606,1.47514,-0.178019,1.81537
73,3,-14.6138,15.9669,8.73328,-25.9145,28.1149,14.9264
74,0,14.8233,-16.0182,-8.66267,25.2938,-27.5233,-15.3252
74,1,-0.220514,0.0631056,-0.321668,-1.18139,-0.519105,-0.919939
74,2,0.550339,0.179757,0.351694,1.46751,-0.17918,1.80875
74,3,-14.8729,16.2481,8.88254,-25.9145,28.1149,14.9263
75,0,15.0763,-16.2935,-8.81592,25.2938,-27.5232,-15.3251
75,1,-0.232258,0.0579252,-0.330806,-1.17434,-0.518038,-0.913779
75,2,0.564944,0.177954,0.36972,1.46046,-0.180248,1.80259
75,3,-15.132,16.5292,9.03181,-25.9144,28.1148,14.9263
76,0,15.3292,-16.5687,-8.96917,25.2938,-27.5232,-15.3251
76,1,-0.243936,0.0527547,-0.339886,-1.1678,-0.517053,-0.908029
76,2,0.579483,0.176142,0.387688,1.45392,-0.181234,1.79684
76,3,-15.3912,16.8104,9.18107,-25.9144,28.1148,14.9263
77,0,15.5822,-16.8439,-9.12242,25.2938,-27.5232,-15.3251
77,1,-0.255553,0.0475933,-0.348913,-1.16171,-0.516141,-0.902646
77,2,0.593961,0.17432,0.405603,1.44783,-0.182147,1.79146
77,3,-15.6503,17.0915,9.33033,-25.9144,28.1148,14.9263
78,0,15.8351,-17.1192,-9.27567,25.2937,-27.5232,-15.3251
78,1,-0.267113,0.0424404,-0.357889,-1.15602,-0.515293,-0.897596
78,2,0.608383,0.17249,0.423467,1.44214,-0.182996,1.78641
78,3,-15.9095,17.3727,9.4796,-25.9144,28.1148,14.9263
79,0,16.088,-17.3944,-9.42892,25.2937,-27.5231,-15.3251
79,1,-0.27862,0.0372953,-0.366817,-1.1507,-0.514502,-0.892848
